1969  1   0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95
1969  2   1.11	1.11	1.11	1.11	1.11	1.11	1.11	1.11	1.11	1.11	1.11	1.11
1969  3   0.54	0.54	0.54	0.54	0.54	0.54	0.54	0.54	0.54	0.54	0.54	0.54
1969  4   0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31
1969  5   0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35
1969  6   -0.04	-0.04	-0.04	-0.04	-0.04	-0.04	-0.04	-0.04	-0.04	-0.04	-0.04	-0.04
1969  7   -0.21	-0.21	-0.21	-0.21	-0.21	-0.21	-0.21	-0.21	-0.21	-0.21	-0.21	-0.21
1969  8   0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16
1969  9   0.43	0.43	0.43	0.43	0.43	0.43	0.43	0.43	0.43	0.43	0.43	0.43
1969 10   0.62	0.62	0.62	0.62	0.62	0.62	0.62	0.62	0.62	0.62	0.62	0.62
1969 11   0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4
1969 12   0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38
1970  1   0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28
1970  2   0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2
1970  3   -0.14	-0.14	-0.14	-0.14	-0.14	-0.14	-0.14	-0.14	-0.14	-0.14	-0.14	-0.14
1970  4   -0.08	-0.08	-0.08	-0.08	-0.08	-0.08	-0.08	-0.08	-0.08	-0.08	-0.08	-0.08
1970  5   -0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3
1970  6   -0.69	-0.69	-0.69	-0.69	-0.69	-0.69	-0.69	-0.69	-0.69	-0.69	-0.69	-0.69
1970  7   -1.08	-1.08	-1.08	-1.08	-1.08	-1.08	-1.08	-1.08	-1.08	-1.08	-1.08	-1.08
1970  8   -1.26	-1.26	-1.26	-1.26	-1.26	-1.26	-1.26	-1.26	-1.26	-1.26	-1.26	-1.26
1970  9   -1.07	-1.07	-1.07	-1.07	-1.07	-1.07	-1.07	-1.07	-1.07	-1.07	-1.07	-1.07
1970 10   -1.12	-1.12	-1.12	-1.12	-1.12	-1.12	-1.12	-1.12	-1.12	-1.12	-1.12	-1.12
1970 11   -1.13	-1.13	-1.13	-1.13	-1.13	-1.13	-1.13	-1.13	-1.13	-1.13	-1.13	-1.13
1970 12   -1.33	-1.33	-1.33	-1.33	-1.33	-1.33	-1.33	-1.33	-1.33	-1.33	-1.33	-1.33
1971  1   -1.73	-1.73	-1.73	-1.73	-1.73	-1.73	-1.73	-1.73	-1.73	-1.73	-1.73	-1.73
1971  2   -1.57	-1.57	-1.57	-1.57	-1.57	-1.57	-1.57	-1.57	-1.57	-1.57	-1.57	-1.57
1971  3   -1.36	-1.36	-1.36	-1.36	-1.36	-1.36	-1.36	-1.36	-1.36	-1.36	-1.36	-1.36
1971  4   -1.18	-1.18	-1.18	-1.18	-1.18	-1.18	-1.18	-1.18	-1.18	-1.18	-1.18	-1.18
1971  5   -0.98	-0.98	-0.98	-0.98	-0.98	-0.98	-0.98	-0.98	-0.98	-0.98	-0.98	-0.98
1971  6   -1.13	-1.13	-1.13	-1.13	-1.13	-1.13	-1.13	-1.13	-1.13	-1.13	-1.13	-1.13
1971  7   -1.17	-1.17	-1.17	-1.17	-1.17	-1.17	-1.17	-1.17	-1.17	-1.17	-1.17	-1.17
1971  8   -1.1	-1.1	-1.1	-1.1	-1.1	-1.1	-1.1	-1.1	-1.1	-1.1	-1.1	-1.1
1971  9   -1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
1971 10   -1.24	-1.24	-1.24	-1.24	-1.24	-1.24	-1.24	-1.24	-1.24	-1.24	-1.24	-1.24
1971 11   -1.15	-1.15	-1.15	-1.15	-1.15	-1.15	-1.15	-1.15	-1.15	-1.15	-1.15	-1.15
1971 12   -1.23	-1.23	-1.23	-1.23	-1.23	-1.23	-1.23	-1.23	-1.23	-1.23	-1.23	-1.23
1972  1   -0.92	-0.92	-0.92	-0.92	-0.92	-0.92	-0.92	-0.92	-0.92	-0.92	-0.92	-0.92
1972  2   -0.45	-0.45	-0.45	-0.45	-0.45	-0.45	-0.45	-0.45	-0.45	-0.45	-0.45	-0.45
