1969  1   -13.5	-13.5	-13.5	-13.5	-13.5	-13.5	-13.5	-13.5	-13.5	-13.5	-13.5	-13.5
1969  2   -6.9	-6.9	-6.9	-6.9	-6.9	-6.9	-6.9	-6.9	-6.9	-6.9	-6.9	-6.9
1969  3   1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8
1969  4   -8.8	-8.8	-8.8	-8.8	-8.8	-8.8	-8.8	-8.8	-8.8	-8.8	-8.8	-8.8
1969  5   -6.6	-6.6	-6.6	-6.6	-6.6	-6.6	-6.6	-6.6	-6.6	-6.6	-6.6	-6.6
1969  6   -0.6	-0.6	-0.6	-0.6	-0.6	-0.6	-0.6	-0.6	-0.6	-0.6	-0.6	-0.6
1969  7   -6.9	-6.9	-6.9	-6.9	-6.9	-6.9	-6.9	-6.9	-6.9	-6.9	-6.9	-6.9
1969  8   -4.4	-4.4	-4.4	-4.4	-4.4	-4.4	-4.4	-4.4	-4.4	-4.4	-4.4	-4.4
1969  9   -10.6	-10.6	-10.6	-10.6	-10.6	-10.6	-10.6	-10.6	-10.6	-10.6	-10.6	-10.6
1969 10   -11.7	-11.7	-11.7	-11.7	-11.7	-11.7	-11.7	-11.7	-11.7	-11.7	-11.7	-11.7
1969 11   -0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
1969 12   3.7	3.7	3.7	3.7	3.7	3.7	3.7	3.7	3.7	3.7	3.7	3.7
1970  1   -10.1	-10.1	-10.1	-10.1	-10.1	-10.1	-10.1	-10.1	-10.1	-10.1	-10.1	-10.1
1970  2   -10.7	-10.7	-10.7	-10.7	-10.7	-10.7	-10.7	-10.7	-10.7	-10.7	-10.7	-10.7
1970  3   1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8
1970  4   -4.6	-4.6	-4.6	-4.6	-4.6	-4.6	-4.6	-4.6	-4.6	-4.6	-4.6	-4.6
1970  5   2.1	2.1	2.1	2.1	2.1	2.1	2.1	2.1	2.1	2.1	2.1	2.1
1970  6   9.9	9.9	9.9	9.9	9.9	9.9	9.9	9.9	9.9	9.9	9.9	9.9
1970  7   -5.6	-5.6	-5.6	-5.6	-5.6	-5.6	-5.6	-5.6	-5.6	-5.6	-5.6	-5.6
1970  8   4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0
1970  9   12.9	12.9	12.9	12.9	12.9	12.9	12.9	12.9	12.9	12.9	12.9	12.9
1970 10   10.3	10.3	10.3	10.3	10.3	10.3	10.3	10.3	10.3	10.3	10.3	10.3
1970 11   19.7	19.7	19.7	19.7	19.7	19.7	19.7	19.7	19.7	19.7	19.7	19.7
