,,,LEPS?,P1,P2,T1?,T2?,T3?,,Mean P1
NW,OZ105_130_25S.data, ERSSTv5_NINO_34.txt,16.91,0.431,0.569,0.36,2.05,4.82,,
,OZ105_130_25S.data, SOI_BoM.txt,16.1,0.321,0.679,0.96,2.05,4.82,,0.376
North,OZ125_1425.data, ERSSTv5_NINO_34.txt,0.43,0.468,0.532,0.11,1.34,2.63,,
,OZ125_1425.data, SOI_BoM.txt,1.69,0.398,0.602,0.35,1.34,2.63,,0.433
East,OZ1425_160.data, ERSSTv5_NINO_34.txt,12.16,0.415,0.585,0.4,1.86,3.63,,
,OZ1425_160.data, SOI_BoM.txt,14.66,0.266,0.734,1.16,1.86,3.63,,0.3405
West,OZ90_125.data, ERSSTv5_NINO_34.txt,11.88,0.414,0.586,0.54,2.48,6.63,,
,OZ90_125.data, SOI_BoM.txt,5.07,0.357,0.643,0.91,2.48,6.63,,0.3855
AR,OZ90_160.data, ERSSTv5_NINO_34.txt,21.56,0.41,0.59,0.76,3.35,11.06,,
,OZ90_160.data, SOI_BoM.txt,13.28,0.299,0.701,1.77,3.35,11.06,,0.3545
SPOW,SPO1425_165.data, ERSSTv5_NINO_34.txt,4.28,0.451,0.549,0.24,1.95,4.37,,
,SPO1425_165.data, SOI_BoM.txt,5.03,0.362,0.638,0.69,1.95,4.37,,0.4065
SPOE,SPO165_240.data, ERSSTv5_NINO_34.txt,-1.32,0.526,0.474,-0.21,3.19,6.43,,
,SPO165_240.data, SOI_BoM.txt,-1.44,0.548,0.452,-0.39,3.19,6.43,,0.537
SPO,SPO1425_240.data, ERSSTv5_NINO_34.txt,-1.75,0.489,0.511,0.1,3.31,9.04,,
,SPO1425_240.data, SOI_BoM.txt,-2.04,0.492,0.508,0.07,3.31,9.04,,0.4905
