date,nino1+2,nino1+2 anom,year,season,ESOI 3m mean,SAM 3m mean,TNI 3m mean,IODW anom 3m mean,IODW 3m mean,IODE anom 3m mean,IODE 3m mean,DMI anom 3m mean,DMI 3m mean,SOI 3m mean,nino3.4 anom 3m mean,nino3.4 3m mean,nino4 anom 3m mean,nino4 3m mean,nino3 anom 3m mean,nino3 3m mean,nino1+2 anom 3m mean,nino1+2 3m mean,TNI,nino3.4 anom 3m mean,nino3.4 3m mean,nino4 anom 3m mean,nino4 3m mean,nino3 anom 3m mean,nino3 3m mean,nino1+2 anom 3m mean,nino1+2 3m mean,nino3,nino3 anom,nino4,nino4 anom,nino3.4,nino3.4 anom,date,SOI,SOI 3m mean,IODE,IODW,IODE anom,IODW anom,DMI,DMI anom,SAM,ESOI,idck_AR,idck_AR-W,idck_AR-N,idck_AR-E,idck_AR-NW,AR,AR-W,AR-NW,AR-N,AR-E,SPO,SPO-W,SPO-E
1876-01-01,,,1876,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187601.0,11.3,,,,,,,,,,,,,,,,,,,,,,
1876-02-01,,,1876,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187602.0,11.0,,,,,,,,,,,,,,,,,,,,,,
1876-03-01,,,1876,2,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,187603.0,0.2,7.5,,,,,,,,,,,,,,,,,,,,,
1876-04-01,,,1876,2,,,,,,,,,,6.866666666666667,,,,,,,,,,,,,,,,,,,,,,,,187604.0,9.4,6.866666666666667,,,,,,,,,,,,,,,,,,,,,
1876-05-01,,,1876,2,,,,,,,,,,5.466666666666666,,,,,,,,,,,,,,,,,,,,,,,,187605.0,6.8,5.466666666666666,,,,,,,,,,,,,,,,,,,,,
1876-06-01,,,1876,3,,,,,,,,,,11.133333333333333,,,,,,,,,,,,,,,,,,,,,,,,187606.0,17.2,11.133333333333333,,,,,,,,,,,,,,,,,,,,,
1876-07-01,,,1876,3,,,,,,,,,,6.133333333333333,,,,,,,,,,,,,,,,,,,,,,,,187607.0,-5.6,6.133333333333333,,,,,,,,,,,,,,,,,,,,,
1876-08-01,,,1876,3,,,,,,,,,,7.966666666666666,,,,,,,,,,,,,,,,,,,,,,,,187608.0,12.3,7.966666666666666,,,,,,,,,,,,,,,,,,,,,
1876-09-01,,,1876,4,,,,,,,,,,5.733333333333334,,,,,,,,,,,,,,,,,,,,,,,,187609.0,10.5,5.733333333333334,,,,,,,,,,,,,,,,,,,,,
1876-10-01,,,1876,4,,,,,,,,,,4.9333333333333345,,,,,,,,,,,,,,,,,,,,,,,,187610.0,-8.0,4.9333333333333345,,,,,,,,,,,,,,,,,,,,,
1876-11-01,,,1876,4,,,,,,,,,,-0.06666666666666672,,,,,,,,,,,,,,,,,,,,,,,,187611.0,-2.7,-0.06666666666666672,,,,,,,,,,,,,,,,,,,,,
1876-12-01,,,1876,1,,,,,,,,,,-4.566666666666666,,,,,,,,,,,,,,,,,,,,,,,,187612.0,-3.0,-4.566666666666666,,,,,,,,,,,,,,,,,,,,,
1877-01-01,,,1877,1,,,,,,,,,,-5.133333333333333,,,,,,,,,,,,,,,,,,,,,,,,187701.0,-9.7,-5.133333333333333,,,,,,,,,,,,,,,,,,,,,
1877-02-01,,,1877,1,,,,,,,,,,-6.3999999999999995,,,,,,,,,,,,,,,,,,,,,,,,187702.0,-6.5,-6.3999999999999995,,,,,,,,,,,,,,,,,,,,,
